NO.,name,metal,linker1,linker1_F,linker2,linker2_F,topology,N_CH4,N_N2,S_CH4_N2
1,DB0-m3_o490_o15_f0_fsc.sym.9_repeat.cif,1,34,0,18,17,2,2.206962698,0.161675368,13.65058095
2,DB0-m3_o490_o15_f0_fsc.sym.2_repeat.cif,1,34,0,18,11,2,2.646352596,0.206314909,12.82676372
3,DB0-m3_o460_o14_f0_fsc.sym.15_repeat.cif,1,32,10,12,10,2,1.919139582,0.153462568,12.50558757
4,DB0-m3_o460_o14_f0_fsc.sym.14_repeat.cif,1,32,10,12,10,2,1.955871023,0.160926733,12.15379811
5,DB0-m3_o47_o15_f0_fsc.sym.8_repeat.cif,1,30,0,18,18,2,2.784721399,0.231546056,12.02664146
6,DB0-m3_o490_o15_f0_fsc.sym.6_repeat.cif,1,34,0,18,2,2,2.31120573,0.192811333,11.986877
7,DB0-m3_o490_o15_f0_fsc.sym.7_repeat.cif,1,34,0,18,2,2,2.315173161,0.195201822,11.86040752
8,DB0-m3_o490_o15_f0_fsc.sym.4_repeat.cif,1,34,0,18,3,2,2.46479919,0.208594871,11.81620227
9,DB0-m3_o490_o15_f0_fsc.sym.3_repeat.cif,1,34,0,18,3,2,2.633897128,0.226634943,11.62176092
10,DB0-m3_o460_o14_f0_fsc.sym.3_repeat.cif,1,32,5,12,5,2,2.258295059,0.198889006,11.35454949
11,DB0-m3_o46_o14_f0_fsc.sym.16_repeat.cif,1,32,4,12,4,2,2.349794774,0.207778949,11.30910896
12,DB0-m3_o460_o14_f0_fsc.sym.6_repeat.cif,1,32,0,12,1,2,2.028834914,0.181657702,11.16844976
13,DB0-m3_o490_o15_f0_fsc.sym.5_repeat.cif,1,34,0,18,2,2,2.512388226,0.225700978,11.1314902
14,DB0-m3_o490_o15_f0_fsc.sym.8_repeat.cif,1,34,0,18,2,2,2.460918495,0.22161721,11.10436548
15,DB0-m3_o45_o15_f0_fsc.sym.16_repeat.cif,1,25,10,18,10,2,1.729315172,0.157306653,10.99327421
16,DB0-m3_o460_o14_f0_fsc.sym.5_repeat.cif,1,32,0,12,5,2,2.234192761,0.204092509,10.9469611
17,DB0-m3_o46_o14_f0_fsc.sym.17_repeat.cif,1,32,4,12,4,2,2.264098938,0.207750896,10.89814285
18,DB0-m3_o1_o46_f0_fsc.sym.14_repeat.cif,1,6,10,32,0,2,1.770961068,0.163173462,10.85324196
19,DB0-m3_o490_o15_f0_fsc.sym.1_repeat.cif,1,34,0,18,0,2,2.58652571,0.23856561,10.84198898
20,DB0-m3_o46_o14_f0_fsc.sym.8_repeat.cif,1,32,18,12,0,2,2.343118967,0.216820241,10.80673538
21,DB0-m3_o16_o460_f0_fsc.sym.20_repeat.cif,1,20,16,32,16,2,2.485332729,0.230002675,10.80566882
23,DB0-m3_o46_o14_f0_fsc.sym.3_repeat.cif,1,32,0,12,1,2,2.297464044,0.21729617,10.57296151
24,DB0-m3_o47_o15_f0_fsc.sym.21_repeat.cif,1,30,16,18,0,2,2.597563896,0.246109923,10.55448665
25,DB0-m3_o46_o14_f0_fsc.sym.4_repeat.cif,1,32,1,12,0,2,1.993353225,0.188888511,10.55306761
27,DB0-m3_o46_o14_f0_fsc.sym.6_repeat.cif,1,32,3,12,3,2,2.237997129,0.213083855,10.50289395
28,DB0-m3_o46_o14_f0_fsc.sym.18_repeat.cif,1,32,12,12,0,2,2.319687059,0.221407622,10.4769973
29,DB0-m3_o14_o47_f0_fsc.sym.8_repeat.cif,1,12,5,30,5,2,2.244492506,0.215554832,10.41262906
31,DB0-m3_o48_o15_f0_fsc.sym.2_repeat.cif,1,35,0,18,1,2,1.72084457,0.167069393,10.30017848
32,DB0-m3_o13_o46_f0_fsc.sym.3_repeat.cif,1,22,28,32,0,2,1.858871973,0.180668222,10.2888707
33,DB0-m3_o1_o46_f0_fsc.sym.3_repeat.cif,1,6,5,32,0,2,2.16677495,0.210800433,10.27879745
35,DB0-m3_o47_o15_f0_fsc.sym.3_repeat.cif,1,30,1,18,0,2,2.566016932,0.251780726,10.19147484
36,DB0-m3_o24_o49_f0_fsc.sym.5_repeat.cif,1,13,28,34,0,2,1.621997746,0.159339852,10.17948573
38,DB0-m3_o44_o13_f0_fsc.sym.4_repeat.cif,1,33,0,22,28,2,1.445877873,0.143404993,10.08247931
39,DB0-m3_o16_o460_f0_fsc.sym.22_repeat.cif,1,20,25,32,0,2,2.091705784,0.207729291,10.06938296
40,DB0-m3_o46_o14_f0_fsc.sym.24_repeat.cif,1,32,0,12,9,2,2.26526006,0.225385332,10.05060993
41,DB0-m3_o47_o15_f0_fsc.sym.15_repeat.cif,1,30,12,18,0,2,2.487843117,0.248079577,10.02840762
42,DB0-m3_o46_o14_f0_fsc.sym.21_repeat.cif,1,32,17,12,0,2,1.959673009,0.195827327,10.00714783
43,DB0-m3_o46_o14_f0_fsc.sym.10_repeat.cif,1,32,2,12,2,2,2.194746453,0.219436582,10.00173459
44,DB0-m3_o460_o13_f0_fsc.sym.30_repeat.cif,1,32,0,22,14,2,2.139921442,0.215469669,9.931427722
45,DB0-m3_o16_o46_f0_fsc.sym.2_repeat.cif,1,20,28,32,0,2,2.498218291,0.251652794,9.927242403
46,DB0-m3_o49_o14_f0_fsc.sym.2_repeat.cif,1,34,0,12,11,2,2.455093112,0.248782672,9.868424879
47,DB0-m3_o460_o4_f0_fsc.sym.5_repeat.cif,1,32,11,24,11,2,2.111772103,0.215662008,9.792045083
48,DB0-m3_o460_o14_f0_fsc.sym.7_repeat.cif,1,32,1,12,0,2,2.24809179,0.229668145,9.788435368
49,DB0-m3_o46_o14_f0_fsc.sym.5_repeat.cif,1,32,0,12,3,2,2.292310948,0.234451878,9.777319638
50,DB0-m3_o46_o14_f0_fsc.sym.9_repeat.cif,1,32,2,12,0,2,2.197833467,0.225827091,9.732372936
51,DB0-m3_o460_o4_f0_fsc.sym.8_repeat.cif,1,32,5,24,5,2,2.133889668,0.219401106,9.725974974
52,DB0-m3_o460_o14_f0_fsc.sym.19_repeat.cif,1,32,15,12,0,2,2.341174052,0.241111402,9.709926749
53,DB0-m3_o1_o490_f0_fsc.sym.13_repeat.cif,1,6,15,34,0,2,2.062053541,0.212455838,9.705798453
54,DB0-m3_o1_o460_f0_fsc.sym.2_repeat.cif,1,6,11,32,0,2,2.039413889,0.210386024,9.693675685
55,DB0-m3_o4_o46_f0_fsc.sym.58_repeat.cif,1,24,17,32,0,2,1.810642964,0.187060003,9.679476838
56,DB0-m3_o46_o14_f0_fsc.sym.11_repeat.cif,1,32,0,12,2,2,2.211281698,0.228541253,9.675634786
57,DB0-m3_o47_o15_f0_fsc.sym.9_repeat.cif,1,30,2,18,2,2,2.211480085,0.228595953,9.674187363
58,DB0-m3_o47_o15_f0_fsc.sym.22_repeat.cif,1,30,9,18,0,2,2.512124334,0.260384191,9.647760581
59,DB0-m3_o45_o15_f0_fsc.sym.26_repeat.cif,1,25,16,18,0,2,2.130530199,0.221098394,9.636117932
60,DB0-m3_o48_o15_f0_fsc.sym.4_repeat.cif,1,35,3,18,3,2,2.314860347,0.240241799,9.635543682
61,DB0-m3_o46_o14_f0_fsc.sym.2_repeat.cif,1,32,11,12,0,2,2.327175807,0.241639192,9.630787901
62,DB0-m3_o4_o46_f0_fsc.sym.49_repeat.cif,1,24,0,32,14,2,1.969980544,0.204855052,9.61646064
63,DB0-m3_o460_o14_f0_fsc.sym.31_repeat.cif,1,32,13,12,0,2,2.297184377,0.23913263,9.606319224
64,DB0-m3_o45_o15_f0_fsc.sym.18_repeat.cif,1,25,0,18,15,2,2.477707742,0.257992077,9.60381331
65,DB0-m3_o460_o14_f0_fsc.sym.22_repeat.cif,1,32,21,12,0,2,2.321337298,0.242294651,9.580637824
66,DB0-m3_o49_o15_f0_fsc.sym.2_repeat.cif,1,34,0,18,2,2,2.250022968,0.234954173,9.576433305
67,DB0-m3_o47_o15_f0_fsc.sym.11_repeat.cif,1,30,10,18,0,2,2.192446547,0.229123361,9.568847716
69,DB0-m3_o46_o14_f0_fsc.sym.12_repeat.cif,1,32,0,12,2,2,2.235886229,0.234736286,9.525098434
70,DB0-m3_o46_o14_f0_fsc.sym.7_repeat.cif,1,32,3,12,0,2,2.259741865,0.237506894,9.51442641
71,DB0-m3_o460_o14_f0_fsc.sym.21_repeat.cif,1,32,14,12,0,2,2.221391566,0.233869805,9.498411174
72,DB0-m3_o48_o15_f0_fsc.sym.6_repeat.cif,1,35,7,18,0,2,2.401178278,0.253210936,9.482916962
73,DB0-m3_o49_o14_f0_fsc.sym.13_repeat.cif,1,34,0,12,17,2,1.926928917,0.203214481,9.482242172
74,DB0-m3_o4_o46_f0_fsc.sym.2_repeat.cif,1,24,11,32,0,2,1.880942945,0.198396414,9.480730577
75,DB0-m3_o460_o14_f0_fsc.sym.20_repeat.cif,1,32,12,12,0,2,2.296825988,0.242386026,9.475901008
76,DB0-m3_o47_o15_f0_fsc.sym.2_repeat.cif,1,30,5,18,0,2,2.412001016,0.254588482,9.47411682
77,DB0-m3_o44_o15_f0_fsc.sym.13_repeat.cif,1,33,10,18,10,2,1.649715074,0.174463122,9.455952981
78,DB0-m3_o46_o14_f0_fsc.sym.1_repeat.cif,1,32,0,12,0,2,2.211995554,0.233929399,9.455825419
79,DB0-m3_o14_o47_f0_fsc.sym.65_repeat.cif,1,12,9,30,9,2,2.365201982,0.250693803,9.434624842
80,DB0-m3_o1_o490_f0_fsc.sym.6_repeat.cif,1,6,18,34,0,2,1.713592256,0.18165169,9.433395597
81,DB0-m3_o49_o15_f0_fsc.sym.1_repeat.cif,1,34,0,18,0,2,2.511977643,0.267646308,9.385437295
82,DB0-m3_o44_o15_f0_fsc.sym.24_repeat.cif,1,33,9,18,9,2,2.345568205,0.25007328,9.379523509
83,DB0-m3_o1_o49_f0_fsc.sym.13_repeat.cif,1,6,17,34,0,2,1.58748419,0.169420785,9.370067468
84,DB0-m3_o1_o46_f0_fsc.sym.28_repeat.cif,1,6,17,32,0,2,1.642652959,0.17569801,9.349297463
85,DB0-m3_o4_o46_f0_fsc.sym.6_repeat.cif,1,24,5,32,0,2,1.965607226,0.210321657,9.345719565
86,DB0-m3_o1_o490_f0_fsc.sym.35_repeat.cif,1,6,13,34,0,2,2.125592681,0.227945795,9.324991861
87,DB0-m3_o4_o46_f0_fsc.sym.91_repeat.cif,1,24,7,32,0,2,2.044504379,0.220112542,9.288450192
88,DB0-m3_o22_o47_f0_fsc.sym.9_repeat.cif,1,9,5,30,5,2,1.328271365,0.143115564,9.281110486
90,DB0-m3_o44_o15_f0_fsc.sym.16_repeat.cif,1,33,0,18,15,2,2.417624403,0.261329077,9.25126447
91,DB0-m3_o1_o490_f0_fsc.sym.27_repeat.cif,1,6,16,34,0,2,1.714874163,0.185475923,9.245804708
92,DB0-m3_o47_o15_f0_fsc.sym.6_repeat.cif,1,30,3,18,3,2,2.028437298,0.219513988,9.240583341
93,DB0-m3_o47_o15_f0_fsc.sym.5_repeat.cif,1,30,3,18,0,2,2.437786487,0.264085023,9.231066784
94,DB0-m3_o460_o14_f0_fsc.sym.13_repeat.cif,1,32,10,12,0,2,2.111529519,0.229156338,9.2143623
95,DB0-m3_o490_o22_f0_fsc.sym.27_repeat.cif,1,34,0,9,14,2,1.349785192,0.146557386,9.209943114
97,DB0-m3_o47_o15_f0_fsc.sym.7_repeat.cif,1,30,3,18,3,2,2.345760608,0.254759339,9.207751201
98,DB0-m3_o24_o490_f0_fsc.sym.42_repeat.cif,1,13,6,34,0,2,1.415626406,0.153926615,9.19676174
99,DB0-m3_o16_o460_f0_fsc.sym.24_repeat.cif,1,20,13,32,0,2,2.280298912,0.247966632,9.195990965
100,DB0-m3_o1_o46_f0_fsc.sym.5_repeat.cif,1,6,0,32,1,2,2.075150253,0.225662386,9.195818097
101,DB0-m3_o13_o46_f0_fsc.sym.30_repeat.cif,1,22,21,32,0,2,1.640089416,0.178856453,9.16986438
102,DB0-m3_o50_o15_f0_fsc.sym.5_repeat.cif,1,43,2,18,2,2,2.242644742,0.244578225,9.169437463
103,DB0-m3_o16_o46_f0_fsc.sym.17_repeat.cif,1,20,8,32,0,2,2.400265725,0.263975914,9.092745215
104,DB0-m3_o45_o15_f0_fsc.sym.3_repeat.cif,1,25,11,18,11,2,2.404864174,0.264749623,9.083541449
105,DB0-m3_o16_o46_f0_fsc.sym.24_repeat.cif,1,20,13,32,0,2,2.209930879,0.244238032,9.048266794
106,DB0-m3_o1_o460_f0_fsc.sym.11_repeat.cif,1,6,4,32,0,2,1.877872753,0.207553506,9.047656159
107,DB0-m3_o13_o46_f0_fsc.sym.29_repeat.cif,1,22,21,32,0,2,1.895156418,0.210138404,9.018610517
108,DB0-m3_o4_o46_f0_fsc.sym.12_repeat.cif,1,24,0,32,1,2,1.526915881,0.169381213,9.014670826
