generation,fitness,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6
42,14.119198,1,34,27,18,26,2
43,14.119198,1,34,27,18,26,2
43,14.119198,1,34,27,18,26,2
43,14.119198,1,34,27,18,26,2
43,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
44,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
45,14.119198,1,34,27,18,26,2
