generation,fitness,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6
42,14.119198,1,34,27,18,26,2
59,14.119198,1,34,27,18,25,2
72,14.119198,1,34,28,18,26,2
71,14.086608,1,34,17,18,26,2
13,14.080821,1,34,18,18,26,2
18,14.080821,1,34,18,18,25,2
126,14.077879,1,32,27,18,26,2
31,14.035091,1,34,15,18,26,2
43,14.035091,1,34,16,18,26,2
5,13.999888,1,34,18,18,17,2
65,13.987763,1,34,20,18,26,2
40,13.972903,1,34,18,18,18,2
10,13.944356,1,34,17,18,17,2
105,13.899525,1,34,27,18,28,2
30,13.86115,1,34,18,18,28,2
48,13.85037,1,34,27,18,27,2
73,13.84523,1,34,26,18,26,2
26,13.843932,1,34,19,18,26,2
13,13.843161,1,34,18,18,14,2
23,13.839217,1,34,18,18,16,2
41,13.805154,1,34,14,18,26,2
6,13.7894,1,32,20,18,17,2
3,13.782826,1,32,18,18,17,2
28,13.779018,1,34,23,18,26,2
28,13.773506,1,34,18,18,15,2
62,13.770736,1,34,27,18,17,2
21,13.768077,1,34,24,18,26,2
44,13.753125,1,34,21,18,26,2
38,13.749107,1,34,25,18,26,2
49,13.743751,1,34,27,18,18,2
6,13.708757,1,32,27,18,17,2
31,13.70209,1,34,18,18,19,2
24,13.697052,1,34,18,18,13,2
41,13.687835,1,34,7,18,26,2
67,13.682519,1,34,22,18,26,2
20,13.677857,1,34,18,18,24,2
10,13.662493,1,34,25,18,17,2
33,13.661832,1,34,11,18,26,2
20,13.65587,1,34,10,18,26,2
12,13.655639,1,34,21,18,17,2
16,13.627944,1,34,12,18,26,2
16,13.627944,1,34,13,18,26,2
5,13.617249,1,34,26,18,17,2
9,13.616816,1,34,18,18,20,2
30,13.614758,1,34,9,18,26,2
56,13.614008,1,34,27,18,14,2
125,13.6100645,1,34,27,18,16,2
2,13.595573,1,32,18,18,11,2
87,13.593323,1,34,27,18,13,2
18,13.590479,1,34,18,18,21,2
22,13.579477,1,34,8,18,26,2
6,13.555269,1,32,26,18,17,2
87,13.5443535,1,34,27,18,15,2
4,13.521063,1,34,18,18,11,2
31,13.521063,1,34,18,18,10,2
18,13.518974,1,34,18,18,12,2
37,13.4821205,1,34,6,18,26,2
47,13.472938,1,34,27,18,19,2
39,13.46042,1,34,5,18,26,2
9,13.450571,1,34,9,18,17,2
102,13.449902,1,34,27,18,23,2
115,13.449902,1,34,27,18,24,2
67,13.417334,1,34,27,18,11,2
99,13.417334,1,34,27,18,10,2
73,13.415245,1,34,27,18,12,2
90,13.393345,1,34,27,18,20,2
5,13.391791,1,32,26,18,11,2
28,13.367598,1,34,1,18,26,2
